"duration","wage-increase-first-year","wage-increase-second-year","wage-increase-third-year","cost-of-living-adjustment","working-hours","pension","standby-pay","shift-differential","education-allowance","statutory-holidays","vacation","longterm-disability-assistance","contribution-to-dental-plan","bereavement-assistance","contribution-to-health-plan","class"
1.0,5.0,,,,40.0,,,2.0,,11.0,"1",,,"1",,"1"
2.0,4.5,5.8,,,35.0,"2",,,"1",11.0,"0",,"2",,"2","1"
,,,,,38.0,"1",,5.0,,11.0,"2","1","1","1","1","1"
3.0,3.7,4.0,5.0,"1",,,,,"1",,,,,"1",,"1"
3.0,4.5,4.5,5.0,,40.0,,,,,12.0,"1",,"1","1","1","1"
2.0,2.0,2.5,,,35.0,,,6.0,"1",12.0,"1",,,,,"1"
3.0,4.0,5.0,5.0,"1",,"1",,,,12.0,"2","1","0","1","1","1"
3.0,6.9,4.8,2.3,,40.0,,,3.0,,12.0,"0",,,,,"1"
2.0,3.0,7.0,,,38.0,,12.0,25.0,"1",11.0,"0","1","1","1",,"1"
1.0,5.7,,,"0",40.0,"1",,4.0,,11.0,"2","1","2",,,"1"
3.0,3.5,4.0,4.6,"0",36.0,,,3.0,,13.0,"2",,,"1","2","1"
2.0,6.4,6.4,,,38.0,,,4.0,,15.0,,,"2",,,"1"
2.0,3.5,4.0,,"0",40.0,,,2.0,"0",10.0,"0","0","1",,"1","0"
3.0,3.5,4.0,5.1,"2",37.0,,,4.0,,13.0,"2",,"2","1","2","1"
1.0,3.0,,,"0",36.0,,,10.0,"0",11.0,"2",,,,,"1"
2.0,4.5,4.0,,"0",37.0,"1",,,,11.0,"1",,"2","1",,"1"
1.0,2.8,,,,35.0,,,2.0,,12.0,"0",,,,,"1"
1.0,2.1,,,"1",40.0,"2",2.0,3.0,"0",9.0,"0","1","1",,"0","0"
1.0,2.0,,,"0",38.0,"0",,,"1",11.0,"1","0","0","0","0","0"
2.0,4.0,5.0,,"2",35.0,,13.0,5.0,,15.0,"2",,,,,"1"
2.0,4.3,4.4,,,38.0,,,4.0,,12.0,"2",,"2",,"2","1"
2.0,2.5,3.0,,,40.0,"0",,,,11.0,"0",,,,,"0"
3.0,3.5,4.0,4.6,"2",27.0,,,,,,,,,,,"1"
2.0,4.5,4.0,,,40.0,,,4.0,,10.0,"2",,"1",,"2","1"
1.0,6.0,,,,38.0,,8.0,3.0,,9.0,"2",,,,,"1"
3.0,2.0,2.0,2.0,"0",40.0,"0",,,,10.0,"0",,"1","1","2","0"
2.0,4.5,4.5,,"2",,,,,"1",10.0,"0","1","0",,"1","1"
2.0,3.0,3.0,,"0",33.0,,,,"1",12.0,"2",,,"1","2","1"
2.0,5.0,4.0,,"0",37.0,,,5.0,"0",11.0,"0","1","2","1","2","1"
3.0,2.0,2.5,,,35.0,"0",,,,10.0,"1",,,"1","2","0"
3.0,4.5,4.5,5.0,"0",40.0,,,,"0",11.0,"1",,"1",,,"1"
3.0,3.0,2.0,2.5,"1",40.0,"0",,5.0,"0",10.0,"0","1","1","1","2","0"
2.0,2.5,2.5,,,38.0,"1",,,,10.0,"1",,,,,"0"
2.0,4.0,5.0,,"0",40.0,"0",,3.0,"0",10.0,"0","0","0",,"0","0"
3.0,2.0,2.5,2.1,"1",40.0,"0",2.0,1.0,"0",10.0,"0","0","1","1","2","0"
2.0,2.0,2.0,,"0",40.0,"0",,,"0",11.0,"1","1","0","1","2","0"
1.0,2.0,,,"1",40.0,"2",4.0,0.0,"0",11.0,"2","0","0","0","0","0"
1.0,2.8,,,"0",38.0,"1",2.0,3.0,"0",9.0,"0","1","1",,"0","0"
3.0,2.0,2.5,2.0,,37.0,"1",,,,10.0,"1",,,"1","0","0"
2.0,4.5,4.0,,"0",40.0,,,4.0,,12.0,"1","1","2","1","1","1"
1.0,4.0,,,"0",,"0",,,"1",11.0,"1","0","0","0","0","0"
2.0,2.0,3.0,,"0",38.0,"1",,,"1",12.0,"2","1","0","1","2","0"
2.0,2.5,2.5,,"1",39.0,"1",,,,12.0,"1",,,"1",,"0"
2.0,2.5,3.0,,"2",40.0,"0",,,,11.0,"0",,,"1",,"0"
2.0,4.0,4.0,,"0",40.0,"0",,3.0,,10.0,"0","0","0",,"0","0"
2.0,4.5,4.0,,,40.0,,,2.0,"0",10.0,"0","0","1",,"1","0"
2.0,4.5,4.0,,"0",40.0,,,5.0,,11.0,"1",,"2","1","2","1"
2.0,4.6,4.6,,"2",38.0,,,,,,,"1","1",,"1","1"
2.0,5.0,4.5,,"0",38.0,,14.0,5.0,,11.0,"0","1",,,"2","1"
2.0,5.7,4.5,,"0",40.0,"2",,,,11.0,"1","1","2","1","2","1"
2.0,7.0,5.3,,,,,,,,11.0,,"1","2",,,"1"
3.0,2.0,3.0,,"2",,"1",,,"1",,,"1","1","1",,"1"
3.0,3.5,4.0,4.5,"2",35.0,,,,,13.0,"2",,,"1","2","1"
3.0,4.0,3.5,,"0",40.0,"1",,6.0,,11.0,"1","1","2",,"2","1"
3.0,5.0,4.4,,"0",38.0,"1",10.0,6.0,,11.0,"2","1",,,"2","1"
3.0,5.0,5.0,5.0,,40.0,,,,,12.0,"1",,"1","1","1","1"
3.0,6.0,6.0,4.0,,35.0,,,14.0,,9.0,"2","1","2","1","2","1"
